"Name","Email","Faculty.Member.1","Faculty.Member.2","Faculty.Member.3","Faculty.Member.4","Faculty.Member.5","Faculty.Member.6"
"Aldrich, David","daldrich@whatever.com","Riser, Elijah","Carlson, Lukas","el-Habibi, Farhaana","Zavala, Dominic",NA,NA
"Nyre, Tavien","tnyre@whatever.com","Poloa, Brian","Navarro, Luis","Sullivan, Kate",NA,NA,NA
"Brown, Reno","rbrown@whatever.com","el-Guler, Shaahida","Hyatt, Dakota","Arritola, Leydi","Herrera, Marina",NA,NA
"Bahns, Maria","mbahns@whatever.com","Buice, Joy","Sands, Srish","el-Samad, Tawheed",NA,NA,NA
"Gonzales, Katie","kgonzales@whatever.com","Russell, Jasmine","Baker, Adriana",NA,"Sullivan, Kate",NA,NA
"al-Wakim, Wajeeha","wal-wakim@whatever.com","Reynolds, Selamawit","Mcfalls, Kizmaya","Carlson, Lukas",NA,NA,"Reynolds, Selamawit"
"el-Kazemi, Arshad","ael-kazemi@whatever.com","Lalria, Tylor","al-Shaban, Sanad","Pham, Sandra","Sullivan, Kate","Strauss-Subia, Carlee",NA
"Christopher, Inikpi","ichristopher@whatever.com","Melphy, Brenden","Butler, Malik","Reynolds, Selamawit",NA,NA,NA
"Alaniz, Jesus-Isai","jalaniz@whatever.com","Arritola, Leydi","Butler, Malik","el-Guler, Shaahida",NA,NA,NA
"Sands, Austin","asands@whatever.com","Olsen, Vy","Jackson, Janelle","Chacon, Ceedric","Chasteen, Kyli",NA,"Jackson, Janelle"
"Roberts, Tyrone","troberts@whatever.com","Jackson, Dominick","Wallace, Andrew","el-Edris, Tahiyya","Buice, Joy",NA,"Cheatham, Reneka"
"Frazier, Imani","ifrazier@whatever.com","Evans, Antwon","Cheatham, Reneka","Zavala, Dominic",NA,"Wallace, Andrew","Sapp, Rachel"
"al-Madani, Ghaali","gal-madani@whatever.com","Eilers, Michael","el-Baig, Hamdoona","el-Guler, Shaahida",NA,"Felix, Alexis",NA
"Tutt, Briana","btutt@whatever.com","al-Dada,  Sakeena","Sudaria, Tanandorn","Pham, Sandra","al-Shaban, Sanad","Arritola, Leydi",NA
"Henry, Daniel","dhenry@whatever.com","Pham, Sandra","Morales, Marisol","el-Guler, Shaahida",NA,NA,"al-Maroun, Najma"
"Reed, Tanna","treed@whatever.com","Cheatham, Reneka","Crowghost, Zachary","Reynolds, Selamawit",NA,"Ali, Matthew",NA
"Tafoya, Alejandra","atafoya@whatever.com","Lundstrom, Sean","al-Maroun, Najma","Pham, Sandra","Mada, Colby","Halaseh, Jared","Mcfalls, Kizmaya"
"Molina, Amanda","amolina@whatever.com","Yancy, Brandon","Sands, Srish",NA,NA,NA,NA
"Carabajal III, Mason","mcarabajal iii@whatever.com","Chavez, Naomi","al-Dada,  Sakeena","Sullivan, Kate",NA,NA,NA
"Silas, Joel","jsilas@whatever.com","Quach, Summer","Sands, Srish","Chasteen, Kyli","Lastrella, Ninna","el-Habibi, Farhaana",NA
"Wagner, Keenan","kwagner@whatever.com","Arritola, Leydi","el-Baig, Hamdoona","al-Dada,  Sakeena",NA,NA,NA
"al-Gad, Taamira","tal-gad@whatever.com","Fuentes, Eduardo","Felix, Alexis","el-Guler, Shaahida",NA,NA,"Morales, Marisol"
"Pacheco, Jazmyen","jpacheco@whatever.com","el-Habibi, Farhaana","Jackson, Dominick","el-Edris, Tahiyya","Butler, Malik",NA,"Yancy, Brandon"
"Baca, James","jbaca@whatever.com","Russell, Jasmine","Sudaria, Tanandorn","Johnson, Spencer",NA,NA,"Yancy, Brandon"
"Vera, Israel","ivera@whatever.com","el-Baig, Hamdoona","Vidales-Gallegos, Paris","Allen, Brianna",NA,NA,NA
"Bradford, Timothy","tbradford@whatever.com","Reynolds, Selamawit","Mcfalls, Kizmaya","Pham, Sandra",NA,NA,"Rouze, Christina"
"Weiss, Zachary","zweiss@whatever.com","Sapp, Rachel","Lor, Madeline","Arritola, Leydi",NA,"Crowghost, Zachary",NA
"Bennett, Benjamin","bbennett@whatever.com","Chacon, Ceedric","Sands, Srish",NA,"Vang, Baosan","Olsen, Vy","Olsen, Vy"
"al-Mourad, Shafaaa","sal-mourad@whatever.com","Lor, Madeline","al-Dada,  Sakeena","Sapp, Rachel",NA,NA,"Lalria, Tylor"
"Hicks, Ayana","ahicks@whatever.com","el-Guler, Shaahida","Sapp, Rachel","Evans, Antwon",NA,NA,NA
"Washington, Mariamawit","mwashington@whatever.com","Sapp, Rachel","el-Ghanem, Zumruda","Felix, Alexis","Allen, Brianna","el-Ghanem, Zumruda",NA
"Baeza, Raquelin","rbaeza@whatever.com","Mada, Colby","el-Edris, Tahiyya","Strauss-Subia, Carlee","Chavez, Naomi","Mada, Colby",NA
"Moua, Sarah","smoua@whatever.com","Ortiz, Robert","Vang, Baosan",NA,NA,NA,NA
"el-Kazi, Aaqil","ael-kazi@whatever.com","Morales, Marisol","Navarro, Luis","al-Shaban, Sanad",NA,NA,NA
"Edwards, Colette","cedwards@whatever.com","Ali, Matthew","al-Shaban, Sanad","Sapp, Rachel","Kitayama, Justin",NA,"Olsen, Vy"
"Cheung, Tylee","tcheung@whatever.com","el-Samad, Tawheed","Riser, Elijah","Sullivan, Kate","Navarro, Luis",NA,"Munsey, Connor"
"Bird, Kaitlyn","kbird@whatever.com","Sudaria, Tanandorn","Chacon, Ceedric","Fuentes, Eduardo","Wirsching, Wyatt","Navarro, Luis","Eilers, Michael"
"Leung, Taylor","tleung@whatever.com","el-Ahsan, Sundus",NA,"Martinez-Alcon, William","Carlson, Lukas",NA,"Cheatham, Reneka"
"Jones, Ha'Dori","hjones@whatever.com","Ali, Matthew","Strauss-Subia, Carlee","Herrera, Marina",NA,NA,NA
"al-Azam, Raaida","ral-azam@whatever.com","Ortiz, Robert","Russell, Jasmine","Sands, Srish",NA,NA,NA
"Yanez, Edgar","eyanez@whatever.com","al-Maroun, Najma","Housley, Demetrius","Quach, Summer","Macneilly, Angelique","Zavala, Dominic",NA
"Salaz, Shiann","ssalaz@whatever.com","Navarro, Luis","Macneilly, Angelique","Sudaria, Tanandorn",NA,NA,"Chasteen, Kyli"
"el-Wahba, Mubarak","mel-wahba@whatever.com","Allen, Brianna","Riser, Elijah","Olsen, Vy",NA,"Evans, Antwon",NA
"Gibbons, Geneva","ggibbons@whatever.com","el-Baig, Hamdoona","al-Shaban, Sanad","Buice, Joy",NA,NA,"Mada, Colby"
"Kang, Kento","kkang@whatever.com","Kitayama, Justin","Ali, Matthew","Pham, Sandra","Reynolds, Selamawit","Felix, Alexis","Lastrella, Ninna"
"Sandoval, Dylan","dsandoval@whatever.com","Wirsching, Wyatt","Jackson, Dominick","Carlson, Lukas","Slatten, Cooper","Yancy, Brandon",NA
"Mcelhaney, Kevin","kmcelhaney@whatever.com","Quach, Summer","Chacon, Ceedric","Mada, Colby",NA,"Crowghost, Zachary","el-Ahsan, Sundus"
"Castillo, Adriana","acastillo@whatever.com","Baker, Adriana","Chasteen, Kyli","Carlson, Lukas",NA,"el-Samad, Tawheed",NA
"Kabotie, Desiree","dkabotie@whatever.com","Butler, Malik","Caldwell, Marisa","Cheatham, Reneka",NA,"Jackson, Janelle",NA
"Lynch, Ronald","rlynch@whatever.com","Sudaria, Tanandorn","Wirsching, Wyatt","el-Samad, Tawheed",NA,NA,"Evans, Antwon"
"Khanal, Farhan","fkhanal@whatever.com","Carlson, Lukas","Kitayama, Justin","Quach, Summer",NA,NA,"Poloa, Brian"
"Mckinley, Waylene","wmckinley@whatever.com","al-Maroun, Najma","Johnson, Spencer","Martinez Casas, Thomas","Buice, Joy",NA,NA
"Lefholz, Rashaan","rlefholz@whatever.com","Cheatham, Reneka","Sudaria, Tanandorn","Rouze, Christina","Poloa, Brian",NA,"Hyatt, Dakota"
"Vigil, Ernesto","evigil@whatever.com","Lastrella, Ninna","Macneilly, Angelique","Sands, Srish","Mcfalls, Kizmaya",NA,NA
"Miller, Peter","pmiller@whatever.com","Yancy, Brandon","Arritola, Leydi","Lundstrom, Sean","Buice, Joy",NA,NA
"Duran, Jennifer","jduran@whatever.com","Mada, Colby","Mcfalls, Kizmaya","Allen, Brianna",NA,"Felix, Alexis",NA
"el-Aydin, Labeeb","lel-aydin@whatever.com","el-Edris, Tahiyya","Jackson, Janelle","Reynolds, Selamawit","Buice, Joy",NA,NA
"al-Jama, Raaji","ral-jama@whatever.com","Mada, Colby","Hyatt, Dakota","Crowghost, Zachary","Sullivan, Kate",NA,"Mcfalls, Kizmaya"
"Gustafson, Joseph","jgustafson@whatever.com","al-Shaban, Sanad","Mcfalls, Kizmaya","el-Ahsan, Sundus","Jackson, Dominick",NA,NA
"Kassmeier, Lauryn","lkassmeier@whatever.com","Sudaria, Tanandorn","Sudaria, Tanandorn","Poloa, Brian",NA,"Quach, Summer",NA
"Horton, Kalen","khorton@whatever.com","Sudaria, Tanandorn","Vidales-Gallegos, Paris","Navarro, Luis","Arritola, Leydi",NA,NA
"Alarid, Sage","salarid@whatever.com","Mcfalls, Kizmaya","Felix, Alexis","Wirsching, Wyatt","Jackson, Dominick","Chasteen, Kyli","Allen, Brianna"
"el-Nazar, Hazeela","hel-nazar@whatever.com","Pham, Sandra","Zavala, Dominic","Baker, Adriana","Martinez Casas, Thomas","al-Maroun, Najma","Housley, Demetrius"
"Moimoi, Leah Frances","lmoimoi@whatever.com","el-Ahsan, Sundus","Martinez Casas, Thomas","Ortiz, Robert",NA,"Jackson, Dominick","Poloa, Brian"
"Bartell, Nikoma","nbartell@whatever.com","el-Habibi, Farhaana","Munsey, Connor","Sapp, Rachel",NA,NA,NA
"Gonzales, Kalyn","kgonzales@whatever.com","Eilers, Michael","Macneilly, Angelique","Melphy, Brenden",NA,NA,NA
"Worthington, Sabbrina","sworthington@whatever.com","Mada, Colby","Fuentes, Eduardo","Reynolds, Selamawit","el-Samad, Tawheed","Cochran, Patric",NA
"Caddy, Shannon","scaddy@whatever.com","Pham, Sandra","el-Samad, Tawheed","Fuentes, Eduardo",NA,"Reynolds, Selamawit","Wallace, Andrew"
"Wise, Bailey","bwise@whatever.com","Ali, Matthew","Quach, Summer","Mcfalls, Kizmaya",NA,"Sullivan, Kate",NA
"Calzadillas Aguirre, Katie","kcalzadillas aguirre@whatever.com","Morales, Marisol","Macneilly, Angelique","Buice, Joy",NA,"el-Samad, Tawheed",NA
"Pinon, Anthony","apinon@whatever.com","Housley, Demetrius","Buice, Joy","Quach, Summer","Lalria, Tylor",NA,NA
"al-Dallal, Wajeeh","wal-dallal@whatever.com","Sands, Srish","Lapaz, Jesse","Mcfalls, Kizmaya",NA,"Cheatham, Reneka",NA
"Kekahbah, Aaron","akekahbah@whatever.com","Lapaz, Jesse","Chavez, Naomi",NA,"Wirsching, Wyatt",NA,NA
"Lukens, Justin","jlukens@whatever.com","Mada, Colby","Lapaz, Jesse",NA,"Vidales-Gallegos, Paris",NA,NA
"Diaz, Alisha","adiaz@whatever.com","Fuentes, Eduardo","Carlson, Lukas","el-Ghanem, Zumruda",NA,NA,"Lor, Madeline"
"el-Salem, Insaaf","iel-salem@whatever.com","Yancy, Brandon","Chasteen, Kyli",NA,"Chacon, Ceedric",NA,NA
"Medina, Betty","bmedina@whatever.com","Herrera, Marina","Chasteen, Kyli","Russell, Jasmine","el-Habibi, Farhaana",NA,NA
"al-Amer, Hiwaaya","hal-amer@whatever.com","Lapaz, Jesse","Lalria, Tylor","el-Habibi, Farhaana",NA,NA,"Poloa, Brian"
"Loghry, Selina","sloghry@whatever.com","Chasteen, Kyli","Eilers, Michael","Lastrella, Ninna",NA,NA,NA
"Franklin, Andrew","afranklin@whatever.com","Allen, Brianna","Felix, Alexis",NA,"Cheatham, Reneka","Chavez, Naomi",NA
"Wong, Rajeev","rwong@whatever.com","Zavala, Dominic","Strauss-Subia, Carlee","Navarro, Luis","Lor, Madeline",NA,NA
"Delarosa, Urian","udelarosa@whatever.com","Riser, Elijah","Butler, Malik","Lor, Madeline",NA,NA,"Chavez, Naomi"
"Gallegos, Lakeysha","lgallegos@whatever.com","Chavez, Naomi","Lapaz, Jesse","al-Shaban, Sanad",NA,NA,NA
"Kennah, Harley","hkennah@whatever.com","Allen, Brianna","Melphy, Brenden","el-Ahsan, Sundus",NA,NA,"Jackson, Janelle"
"Bohannon-Pea, Yaphet","ybohannon-pea@whatever.com","Kitayama, Justin","Chacon, Ceedric","Lalria, Tylor","Eilers, Michael",NA,NA
"al-Demian, Sameera","sal-demian@whatever.com","Halaseh, Jared","Chasteen, Kyli","Sudaria, Tanandorn","Olsen, Vy",NA,NA
"al-Beshara, Hakeema","hal-beshara@whatever.com","Lundstrom, Sean","Jackson, Dominick","Sudaria, Tanandorn","al-Dada,  Sakeena",NA,NA
"Ortiz Martinez, Kiana","kortiz martinez@whatever.com","Morales, Marisol","Morales, Marisol","Mcfalls, Kizmaya","Russell, Jasmine",NA,NA
"Malott, Hannah","hmalott@whatever.com","Herrera, Marina","Navarro, Luis","Sullivan, Kate",NA,NA,NA
"Walker, Dejouray","dwalker@whatever.com","Reynolds, Selamawit","el-Habibi, Farhaana","Quach, Summer",NA,NA,"Fuentes, Eduardo"
"al-Morad, Badr","bal-morad@whatever.com","el-Ahsan, Sundus","Herrera, Marina",NA,NA,"Sudaria, Tanandorn",NA
"Matthews, Alicia","amatthews@whatever.com","Allen, Brianna","Lastrella, Ninna","Reynolds, Selamawit",NA,NA,NA
"al-Firman, Adnaan","aal-firman@whatever.com","Morales, Marisol","Allen, Brianna","Martinez Casas, Thomas","al-Maroun, Najma",NA,"Reynolds, Selamawit"
"Bernal, William","wbernal@whatever.com","Lor, Madeline","al-Maroun, Najma","Housley, Demetrius","Strauss-Subia, Carlee",NA,"Vang, Baosan"
"Lares, Estrella","elares@whatever.com","Reynolds, Selamawit","Mcfalls, Kizmaya","Quach, Summer","Mannon, Thomas",NA,NA
"al-Fahmy, Abdur Rasheed","aal-fahmy@whatever.com","Quach, Summer","Poloa, Brian",NA,NA,"Martinez Casas, Thomas","Lalria, Tylor"
"Laner, Christopher","claner@whatever.com","Macneilly, Angelique","Martinez Casas, Thomas",NA,NA,"Fuentes, Eduardo","Fuentes, Eduardo"
"al-Bilal, Khawla","kal-bilal@whatever.com","Caldwell, Marisa","Caldwell, Marisa","Carlson, Lukas","Lundstrom, Sean",NA,NA
"Alvarado, Madeline","malvarado@whatever.com","el-Habibi, Farhaana","al-Maroun, Najma","Sudaria, Tanandorn",NA,"Martinez Casas, Thomas",NA
"Williams, Elroy","ewilliams@whatever.com","Reynolds, Selamawit","el-Baig, Hamdoona","Herrera, Marina","Strauss-Subia, Carlee",NA,NA
"Delarosa-Arroyo, Erick","edelarosa-arroyo@whatever.com","Allen, Brianna","Allen, Brianna","Carlson, Lukas","Eilers, Michael",NA,NA
"Reyes, Lanisha","lreyes@whatever.com","Yancy, Brandon","Vidales-Gallegos, Paris",NA,"Butler, Malik",NA,"Caldwell, Marisa"
"Whyte, Tashina","twhyte@whatever.com","Fuentes, Eduardo","Butler, Malik","Russell, Jasmine","al-Dada,  Sakeena","Lapaz, Jesse","el-Ghanem, Zumruda"
"Bayles, Savannah","sbayles@whatever.com","el-Samad, Tawheed","Halaseh, Jared","Russell, Jasmine","Martinez-Alcon, William",NA,"el-Ahsan, Sundus"
"Carr, Joseph","jcarr@whatever.com","Halaseh, Jared","Herrera, Marina","Crowghost, Zachary",NA,NA,"Morales, Marisol"
"Flores, Jose","jflores@whatever.com","Lundstrom, Sean","Arritola, Leydi",NA,NA,NA,"el-Ahsan, Sundus"
"Moore, Selena","smoore@whatever.com","Sapp, Rachel","Vang, Baosan","el-Baig, Hamdoona",NA,"Martinez Casas, Thomas",NA
"Luong, Geniveve","gluong@whatever.com","Herrera, Marina","Sullivan, Kate","Chacon, Ceedric",NA,NA,"Martinez Casas, Thomas"
